No,단어 (한글),표기명,카테고리 그룹,카테고리 코드,AP 비용,주요 수치/능력,특수 효과 설명,사운드 효과,태그,로컬 에셋 경로,에테르AI CDN URL
1,검,검 (무기/참격),⚔️ 무기/공격 (18종),weapon,1,피해 10,적에게 10의 강력한 물리 베기 피해를 입힙니다.,playAttack,,./assets/01_무기_공격/sword_검/sword_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/c502bdb3-f293-4148-94d9-d346d3f5ba8a.png
2,봉,봉 (무기/주문),⚔️ 무기/공격 (18종),weapon,1,피해 6,"적에게 6 피해를 입히고, 다음 마법 단어의 위력을 +4 증가시킵니다.",playAttack,,./assets/01_무기_공격/staff_봉/staff_1_32px.png,https://cdn.aetherforgeai.com/assets/a63da88b-8f20-415d-ab18-fa0aa0b0dd00.png
3,공,공 (타격/충격),⚔️ 무기/공격 (18종),weapon,1,피해 9,적을 정면 강타하여 9의 묵직한 물리 피해를 입힙니다.,playAttack,,./assets/01_무기_공격/fist_공/fist_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/567577df-9cc6-4028-a4b1-62e5f4fbaef1.png
4,목,목 (급소/암살),⚔️ 무기/공격 (18종),weapon,1,피해 8,"적의 목을 베어 8 피해를 입히며, 체력 50% 이하인 적에게는 16 피해를 입힙니다.",playAttack,,./assets/01_무기_공격/axe_목/axe_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/f2f389ff-034b-4273-a33e-0fd585ece7cf.png
5,골,골 (타격/기절),⚔️ 무기/공격 (18종),weapon,1,피해 8,적의 머리를 강타하여 8 피해를 입히고 1턴간 기절(스턴)시킵니다.,playAttack,,./assets/01_무기_공격/mace_골/mace_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/2bf8a720-6a81-4b5d-97c7-5ee7ffac278a.png
6,쇠,쇠 (금속/강타),⚔️ 무기/공격 (18종),weapon,1,피해 11,쇳덩이를 내리쳐 11 피해를 입히고 적 방어도를 4 깎아냅니다.,playAttack,,./assets/01_무기_공격/iron_쇠/iron_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/6262fa95-8c08-4b3f-a71b-25d1936ab760.png
7,못,못 (도구/출혈),⚔️ 무기/공격 (18종),weapon,1,"피해 6, 출혈 3",날카로운 대못을 박아 6 피해를 입히고 3턴간 출혈(매 턴 3 피해)을 부여합니다.,playAttack,,./assets/01_무기_공격/spike_못/spike_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/8065d354-fbd1-4032-8051-721a8e0949df.png
8,날,날 (칼날/절단),⚔️ 무기/공격 (18종),weapon,1,피해 8,예리한 날로 베어 8 피해를 입히고 1턴간 취약(받는 피해 30% 증가)을 부여합니다.,playAttack,,./assets/01_무기_공격/blade_날/blade_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/c502bdb3-f293-4148-94d9-d346d3f5ba8a.png
9,삭,삭 (바람/삭풍),⚔️ 무기/공격 (18종),weapon,1,피해 8,매서운 삭풍을 휘둘러 8 피해를 입히고 적의 모든 실드를 제거합니다.,playAttack,,./assets/01_무기_공격/wind_slash_삭/wind_slash_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/e21dd913-7df2-436c-ac23-fa9133f45ddf.png
10,일,일 (신성/일격),⚔️ 무기/공격 (18종),weapon,1,피해 15,혼신의 일격을 날려 15의 치명적인 단일 물리 피해를 입힙니다.,playAttack,,./assets/01_무기_공격/strike_일/strike_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/23bbafe1-493a-4bde-a7a9-a9f8f64227b2.png
11,십,십 (신성/십자),⚔️ 무기/공격 (18종),weapon,1,피해 6,십자 형태로 베어 6 피해를 2회(총 12 피해) 연속 공격합니다.,playAttack,,./assets/01_무기_공격/cross_sword_십/cross_sword_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/9a522a73-d6c5-4df5-871f-bd6a44b7ffa8.png
12,박,박 (신체/박치기),⚔️ 무기/공격 (18종),weapon,1,피해 9,단단한 박치기로 9 피해를 입히고 적을 1턴간 기절시킵니다. (자신 2 반동 피해),playAttack,,./assets/01_무기_공격/ram_박/ram_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/c8fbea8d-ac52-4812-a99c-00005240e661.png
13,발,발 (사격/발포),⚔️ 무기/공격 (18종),weapon,1,피해 10,탄환을 발사하여 10의 원거리 물리 관통 피해를 입힙니다.,playAttack,,./assets/01_무기_공격/shot_발/shot_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/f5da9803-6602-448e-be79-0b4c0a601825.png
14,괴,괴 (변이/폭주),⚔️ 무기/공격 (18종),weapon,1,피해 16,괴력을 발휘하여 자신의 HP 3을 소모하고 적에게 16의 폭발적 피해를 입힙니다.,playAttack,,./assets/01_무기_공격/monster_arm_괴/monster_arm_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/89e7dabe-cb9a-4ff7-b9eb-ffafe11ded22.png
15,시,시 (암기/신속),⚔️ 무기/공격 (18종),weapon,0,피해 5,날카로운 시위를 튕겨 0 AP로 5의 신속 찌르기 피해를 입힙니다.,playAttack,,./assets/01_무기_공격/arrow_시/arrow_1_32px_pastel.png,https://cdn.aetherforgeai.com/assets/805cf3d9-c6b1-4662-86a2-ad1f4c10cb6e.png
