글자수,단어,타워 명칭,티어,카테고리,필요 자모 순서 (조합 공식),음절 분절 구조,공격력,사거리,공격속도,특수 효과 상세 설명,에셋 파일 경로
1글자,갑,갑 (철갑/가시파편),1티어 (기본),defense,ㄱ + ㅏ + ㅂ,[ㄱㅏㅂ],15,130 px,0.95 초,가시 철갑 파편을 사방으로 발사하여 15 관통 물리 피해를 입힙니다.,res://assets/02_방어_장비/armor_갑/armor_1_32px_pastel.png
1글자,막,막 (결계/감속장막),1티어 (기본),defense,ㅁ + ㅏ + ㄱ,[ㅁㅏㄱ],12,130 px,0.95 초,지나가는 적에게 12 장막 충격을 주며 이동속도를 50% 감속시킵니다.,res://assets/02_방어_장비/barrier_막/barrier_1_32px_pastel.png
1글자,문,문 (관문/철문낙하),1티어 (기본),defense,ㅁ + ㅜ + ㄴ,[ㅁㅜㄴ],14,130 px,0.95 초,적의 경로 위에 거대한 철문을 내리찍어 14 피해 및 1.5초 기절을 줍니다.,res://assets/02_방어_장비/gate_문/gate_1_32px_pastel.png
1글자,방,방 (방패/충격파),1티어 (기본),defense,ㅂ + ㅏ + ㅇ,[ㅂㅏㅇ],12,130 px,0.95 초,접근하는 적들에게 12 방어 충격파를 발사하여 넉백시킵니다.,res://assets/02_방어_장비/shield_방/shield_1_32px_pastel.png
1글자,벽,벽 (돌벽/방벽),1티어 (기본),defense,ㅂ + ㅕ + ㄱ,[ㅂㅕㄱ],14,130 px,0.95 초,단단한 돌벽을 세워 14 피해 및 적들을 1초간 정지시킵니다.,res://assets/02_방어_장비/barrier_막/barrier_1_32px_pastel.png
1글자,산,산 (태산/낙석),1티어 (기본),defense,ㅅ + ㅏ + ㄴ,[ㅅㅏㄴ],18,130 px,0.95 초,태산 같은 거대한 낙석을 떨어뜨려 18 광역 피해 및 넉백을 입힙니다.,res://assets/02_방어_장비/mountain_산/mountain_1_32px_pastel.png
1글자,성,성 (성채/요새포),1티어 (기본),defense,ㅅ + ㅓ + ㅇ,[ㅅㅓㅇ],18,130 px,0.95 초,요새의 육중한 성채 방어포를 발사하여 18의 광역 포격 피해를 줍니다.,res://assets/02_방어_장비/castle_성/castle_1_32px_pastel.png
1글자,완,완 (완벽/철퇴타격),1티어 (기본),defense,ㅇ + ㅗ + ㅏ + ㄴ,[ㅇㅗㅏㄴ],16,130 px,0.95 초,완벽한 타이밍의 묵직한 강타로 16 단일 물리 피해 및 0.8초 기절을 줍니다.,res://assets/02_방어_장비/guard_완/guard_1_32px_pastel.png
1글자,위,위 (위성/궤도레이저),1티어 (기본),defense,ㅇ + ㅜ + ㅣ,[ㅇㅜㅣ],13,130 px,0.95 초,주변을 회전하는 궤도 레이저를 연사하여 13 지속 피해를 입힙니다.,res://assets/02_방어_장비/orbit_위/orbit_1_32px_pastel.png
1글자,인,인 (인내/강철탄),1티어 (기본),defense,ㅇ + ㅣ + ㄴ,[ㅇㅣㄴ],14,130 px,0.95 초,강철 같은 단단한 탄환을 쏘아보내어 14 단일 관통 피해를 입힙니다.,res://assets/02_방어_장비/patience_인/patience_1_32px_pastel.png
1글자,냉,냉 (냉기/동결),1티어 (기본),element,ㄴ + ㅏ + ㅣ + ㅇ,[ㄴㅏㅣㅇ],7,160 px,0.90 초,서늘한 냉기를 뿜어 7 피해와 함께 적의 공속을 깎습니다.,res://assets/03_원소_마법/cold_냉/cold_1_32px_pastel.png
1글자,뇌,뇌 (번개/감전),1티어 (기본),element,ㄴ + ㅗ + ㅣ,[ㄴㅗㅣ],11,160 px,0.90 초,번갯불을 내리쳐 11 피해 및 2체의 적에게 연쇄 감전을 일으킵니다.,res://assets/03_원소_마법/thunder_뇌/thunder_1_32px_pastel.png
1글자,달,달 (월광/마력),1티어 (기본),element,ㄷ + ㅏ + ㄹ,[ㄷㅏㄹ],10,160 px,0.90 초,은은한 월광 마법탄을 발사하여 10 마법 피해를 입힙니다.,res://assets/03_원소_마법/moon_달/moon_1_32px_pastel.png
1글자,독,독 (맹독/부식),1티어 (기본),element,ㄷ + ㅗ + ㄱ,[ㄷㅗㄱ],6,160 px,0.90 초,치명적인 독액을 뱉어 6 피해 및 초당 4의 지속 독 피해를 줍니다.,res://assets/03_원소_마법/poison_독/poison_1_32px_pastel.png
1글자,물,물 (수류/물줄기),1티어 (기본),element,ㅁ + ㅜ + ㄹ,[ㅁㅜㄹ],6,160 px,0.90 초,차가운 물줄기를 발사하여 6 피해 및 적을 20% 둔화시킵니다.,res://assets/03_원소_마법/water_물/water_1_32px_pastel.png
1글자,별,별 (유성/낙하),1티어 (기본),element,ㅂ + ㅕ + ㄹ,[ㅂㅕㄹ],12,160 px,0.90 초,작은 유성을 떨어뜨려 12 신성 피해를 입힙니다.,res://assets/03_원소_마법/star_별/star_1_32px_pastel.png
1글자,불,불 (화염/화구),1티어 (기본),element,ㅂ + ㅜ + ㄹ,[ㅂㅜㄹ],7,160 px,0.90 초,적에게 7 피해를 주고 초당 3의 화상 피해를 남깁니다.,res://assets/03_원소_마법/fire_불/fire_1_32px_pastel.png
1글자,빙,빙 (얼음/빙결),1티어 (기본),element,ㅂ + ㅣ + ㅇ,[ㅂㅣㅇ],8,160 px,0.90 초,날카로운 얼음 조각을 쏘아 8 피해 및 40% 둔화를 겁니다.,res://assets/03_원소_마법/ice_빙/ice_1_32px_pastel.png
1글자,빛,빛 (광휘/섬광),1티어 (기본),element,ㅂ + ㅣ + ㅊ,[ㅂㅣㅊ],8,160 px,0.90 초,눈부신 섬광을 터뜨려 8 광역 피해를 입힙니다.,res://assets/03_원소_마법/light_빛/light_1_32px_pastel.png
1글자,열,열 (열기/화염),1티어 (기본),element,ㅇ + ㅕ + ㄹ,[ㅇㅕㄹ],8,160 px,0.90 초,고열의 파동을 방출하여 8 지속 열기 피해를 입힙니다.,res://assets/03_원소_마법/heat_열/heat_1_32px_pastel.png
1글자,염,염 (화염/업화),1티어 (기본),element,ㅇ + ㅕ + ㅁ,[ㅇㅕㅁ],12,160 px,0.90 초,작열하는 화염구를 투척하여 12 범위 화염 폭발을 일으킵니다.,res://assets/03_원소_마법/flame_염/flame_1_32px_pastel.png
1글자,폭,폭 (폭발/화약),1티어 (기본),element,ㅍ + ㅗ + ㄱ,[ㅍㅗㄱ],15,160 px,0.90 초,화약 폭탄을 터뜨려 반경 내 모든 적에게 15 폭발 피해를 줍니다.,res://assets/03_원소_마법/explosion_폭/explosion_1_32px_pastel.png
1글자,풍,풍 (바람/돌풍),1티어 (기본),element,ㅍ + ㅜ + ㅇ,[ㅍㅜㅇ],7,160 px,0.90 초,회전하는 돌풍을 발사하여 7 피해 및 적을 뒤로 밀어냅니다.,res://assets/03_원소_마법/wind_풍/wind_1_32px_pastel.png
1글자,해,해 (태양/광선),1티어 (기본),element,ㅎ + ㅏ + ㅣ,[ㅎㅏㅣ],13,160 px,0.90 초,태양 광선을 집중 조사하여 13 지속 화염 피해를 줍니다.,res://assets/03_원소_마법/sun_해/sun_1_32px_pastel.png
1글자,흙,흙 (대지/토석),1티어 (기본),element,ㅎ + ㅡ + ㄹ + ㄱ,[ㅎㅡㄹㄱ],9,160 px,0.90 초,단단한 흙덩이를 던져 9 피해 및 0.3초 경직을 가합니다.,res://assets/03_원소_마법/earth_흙/earth_1_32px_pastel.png
1글자,감,감 (단감/투척),1티어 (기본),heal,ㄱ + ㅏ + ㅁ,[ㄱㅏㅁ],11,145 px,0.85 초,단단한 감 열매를 고속 투척하여 11 피해 및 30% 둔화를 줍니다.,res://assets/05_회복_치유/persimmon_감/persimmon_1_32px_pastel.png
1글자,마,마 (산약/마비침),1티어 (기본),heal,ㅁ + ㅏ,[ㅁㅏ],12,145 px,0.85 초,적의 급소에 마비 침을 발사하여 12 피해 및 1초간 마비(스턴)를 줍니다.,res://assets/05_회복_치유/yam_마/yam_1_32px_pastel.png
1글자,무,무 (무/대포탄),1티어 (기본),heal,ㅁ + ㅜ,[ㅁㅜ],15,145 px,0.85 초,거대한 무 대포탄을 발사하여 착탄 지점에 15 폭발 피해를 입힙니다.,res://assets/05_회복_치유/radish_무/radish_1_32px_pastel.png
1글자,묵,묵 (도토리묵/슬로우),1티어 (기본),heal,ㅁ + ㅜ + ㄱ,[ㅁㅜㄱ],10,145 px,0.85 초,끈적한 도토리묵을 뿜어 10 피해 및 적 이동속도를 60% 감속시킵니다.,res://assets/05_회복_치유/jelly_묵/jelly_1_32px_pastel.png
1글자,샘,샘 (치유샘/물기둥),1티어 (기본),heal,ㅅ + ㅏ + ㅣ + ㅁ,[ㅅㅏㅣㅁ],12,145 px,0.85 초,바닥에서 솟구치는 거대한 물기둥으로 12 피해 및 0.5초 에어본을 가합니다.,res://assets/05_회복_치유/spring_샘/spring_1_32px_pastel.png
1글자,생,생 (생명/영혼흡수),1티어 (기본),heal,ㅅ + ㅏ + ㅣ + ㅇ,[ㅅㅏㅣㅇ],14,145 px,0.85 초,"적에게 14 영혼 흡수탄을 쏘며, 처치 시 기지 HP를 +1 회복합니다.",res://assets/05_회복_치유/life_생/life_1_32px_pastel.png
1글자,숨,숨 (숨결/영기방출),1티어 (기본),heal,ㅅ + ㅜ + ㅁ,[ㅅㅜㅁ],16,145 px,0.85 초,전방 부채꼴 범위로 16의 거대한 영기 숨결을 뿜어냅니다.,res://assets/05_회복_치유/breath_숨/breath_1_32px_pastel.png
1글자,약,약 (약초/치유광선),1티어 (기본),heal,ㅇ + ㅑ + ㄱ,[ㅇㅑㄱ],12,145 px,0.85 초,치유의 약초 광선을 발사하여 12 피해를 입힙니다.,res://assets/05_회복_치유/spring_샘/spring_1_32px_pastel.png
1글자,기,기 (기공/관통기공파),1티어 (기본),skill,ㄱ + ㅣ,[ㄱㅣ],20,150 px,0.80 초,일직선상 모든 적을 관통하는 푸른 기공파로 20 관통 피해를 입힙니다.,res://assets/06_버프_유틸/ki_기/ki_1_32px_pastel.png
1글자,망,망 (포획망/속박),1티어 (기본),skill,ㅁ + ㅏ + ㅇ,[ㅁㅏㅇ],14,150 px,0.80 초,올가미 그물을 투척하여 14 피해 및 적들을 1.2초간 속박합니다.,res://assets/06_버프_유틸/net_망/net_1_32px_pastel.png
1글자,북,북 (전쟁의북/고동),1티어 (기본),skill,ㅂ + ㅜ + ㄱ,[ㅂㅜㄱ],10,150 px,0.80 초,둥둥 울리는 북소리로 10 음파 피해 및 주변 아군 타워 공속을 +40% 가속합니다.,res://assets/06_버프_유틸/drum_북/drum_1_32px_pastel.png
1글자,개,개 (사냥개/물어뜯기),1티어 (기본),summon,ㄱ + ㅏ + ㅣ,[ㄱㅏㅣ],9,140 px,1.00 초,사냥개를 풀어 9 피해 및 1초간 적을 물고 늘어집니다.,res://assets/04_생물_소환/dog_개/dog_1_32px_pastel.png
1글자,곰,곰 (맹수/앞발),1티어 (기본),summon,ㄱ + ㅗ + ㅁ,[ㄱㅗㅁ],14,140 px,1.00 초,거대한 곰의 앞발로 내리쳐 14 물리 피해 및 0.5초 기절을 가합니다.,res://assets/04_생물_소환/bear_곰/bear_1_32px_pastel.png
1글자,말,말 (군마/질주),1티어 (기본),summon,ㅁ + ㅏ + ㄹ,[ㅁㅏㄹ],11,140 px,1.00 초,강력한 말발굽으로 짓밟아 11 피해를 입힙니다.,res://assets/04_생물_소환/horse_말/horse_1_32px_pastel.png
1글자,뱀,뱀 (파충/맹독),1티어 (기본),summon,ㅂ + ㅏ + ㅣ + ㅁ,[ㅂㅏㅣㅁ],8,140 px,1.00 초,독사를 소환하여 8 피해 및 초당 3의 중독 피해를 부여합니다.,res://assets/04_생물_소환/snake_뱀/snake_1_32px_pastel.png
1글자,벌,벌 (군집/독침),1티어 (기본),summon,ㅂ + ㅓ + ㄹ,[ㅂㅓㄹ],6,140 px,1.00 초,사나운 벌떼를 날려 6 고속 다단히트 침 피해를 줍니다.,res://assets/04_생물_소환/bee_벌/bee_1_32px_pastel.png
1글자,새,새 (조류/비행),1티어 (기본),summon,ㅅ + ㅏ + ㅣ,[ㅅㅏㅣ],7,140 px,1.00 초,영리한 새를 날려 7의 빠른 쪼기 피해를 연속으로 가합니다.,res://assets/04_생물_소환/bird_새/bird_1_32px_pastel.png
1글자,소,소 (황소/돌진),1티어 (기본),summon,ㅅ + ㅗ,[ㅅㅗ],13,140 px,1.00 초,성난 황소의 뿔로 들이받아 13 물리 피해 및 넉백을 가합니다.,res://assets/04_생물_소환/bull_소/bull_1_32px_pastel.png
1글자,용,용 (드래곤/용염),1티어 (기본),summon,ㅇ + ㅛ + ㅇ,[ㅇㅛㅇ],18,140 px,1.00 초,새끼 용을 소환하여 18의 맹렬한 브레스 화염을 뿜습니다.,res://assets/04_생물_소환/dragon_용/dragon_1_32px_pastel.png
1글자,쥐,쥐 (역병/기습),1티어 (기본),summon,ㅈ + ㅜ + ㅣ,[ㅈㅜㅣ],6,140 px,1.00 초,재빠른 역병 쥐를 풀어 6 피해 및 이동속도 20% 둔화를 겁니다.,res://assets/04_생물_소환/rat_쥐/rat_1_32px_pastel.png
1글자,호,호 (호랑이/포효),1티어 (기본),summon,ㅎ + ㅗ,[ㅎㅗ],16,140 px,1.00 초,맹호의 포효를 내질러 16 강력 물리 피해를 입힙니다.,res://assets/04_생물_소환/tiger_호/tiger_1_32px_pastel.png
1글자,검,검 (도검/참격),1티어 (기본),weapon,ㄱ + ㅓ + ㅁ,[ㄱㅓㅁ],10,150 px,0.65 초,적에게 10의 강력한 물리 베기 피해를 입힙니다.,res://assets/01_무기_공격/sword_검/sword_1_32px_pastel.png
1글자,곡,곡 (곡괭이/채굴),1티어 (기본),weapon,ㄱ + ㅗ + ㄱ,[ㄱㅗㄱ],9,150 px,0.65 초,곡괭이로 적을 찍어 9 피해를 입히고 추가 골드를 획득합니다.,res://assets/01_무기_공격/pickaxe_곡/pickaxe_1_32px_pastel.png
